date,dateStata,dateISO,year,month,item,quintiles,mean_decile_price
6,01-07-1988,1988-07-01,1988,7,Beef Mince,5,3.8759604
6,01-07-1988,1988-07-01,1988,7,Beef Mince,4,3.4848378
6,01-07-1988,1988-07-01,1988,7,Eggs,1,.74903226
6,01-07-1988,1988-07-01,1988,7,Beef Mince,2,2.5550139
6,01-07-1988,1988-07-01,1988,7,Eggs,2,.9077273
6,01-07-1988,1988-07-01,1988,7,Pasta,2,.4090476
6,01-07-1988,1988-07-01,1988,7,Car Oil,2,2.0589333
6,01-07-1988,1988-07-01,1988,7,Pasta,3,.41999999
6,01-07-1988,1988-07-01,1988,7,Beef Mince,3,2.9016998
6,01-07-1988,1988-07-01,1988,7,White Loaf of Bread,2,.5844444
6,01-07-1988,1988-07-01,1988,7,Pasta,4,.44999999
6,01-07-1988,1988-07-01,1988,7,White Loaf of Bread,3,.60000002
6,01-07-1988,1988-07-01,1988,7,Eggs,5,1.1604
6,01-07-1988,1988-07-01,1988,7,Eggs,4,1.0331818
8,01-09-1988,1988-09-01,1988,9,Beef Mince,4,3.5333505
8,01-09-1988,1988-09-01,1988,9,Car Oil,5,2.3981819
8,01-09-1988,1988-09-01,1988,9,Beef Mince,5,3.9539859
8,01-09-1988,1988-09-01,1988,9,White Loaf of Bread,1,.54000002
8,01-09-1988,1988-09-01,1988,9,Eggs,5,1.1504167
8,01-09-1988,1988-09-01,1988,9,Car Oil,2,2.1024389
8,01-09-1988,1988-09-01,1988,9,White Loaf of Bread,2,.58818179
8,01-09-1988,1988-09-01,1988,9,Beef Mince,3,2.9982831
8,01-09-1988,1988-09-01,1988,9,Eggs,2,.8908
8,01-09-1988,1988-09-01,1988,9,Car Oil,4,2.2574699
8,01-09-1988,1988-09-01,1988,9,Beef Mince,2,2.6261702
8,01-09-1988,1988-09-01,1988,9,Car Oil,1,1.8642056
8,01-09-1988,1988-09-01,1988,9,Eggs,4,1.0156
8,01-09-1988,1988-09-01,1988,9,Eggs,3,.98518521
8,01-09-1988,1988-09-01,1988,9,Pasta,5,.52809525
8,01-09-1988,1988-09-01,1988,9,Car Oil,3,2.1954718
8,01-09-1988,1988-09-01,1988,9,Pasta,4,.44222221
8,01-09-1988,1988-09-01,1988,9,Pasta,1,.3674359
8,01-09-1988,1988-09-01,1988,9,White Loaf of Bread,4,.61352944
8,01-09-1988,1988-09-01,1988,9,Pasta,2,.4090476
8,01-09-1988,1988-09-01,1988,9,Beef Mince,1,2.3355193
8,01-09-1988,1988-09-01,1988,9,Eggs,1,.71153843
8,01-09-1988,1988-09-01,1988,9,White Loaf of Bread,3,.60000002
8,01-09-1988,1988-09-01,1988,9,White Loaf of Bread,5,.64263159
8,01-09-1988,1988-09-01,1988,9,Pasta,3,.41999999
9,01-10-1988,1988-10-01,1988,10,Car Oil,1,1.8671429
9,01-10-1988,1988-10-01,1988,10,White Loaf of Bread,2,.58833331
9,01-10-1988,1988-10-01,1988,10,Pasta,1,.3604762
9,01-10-1988,1988-10-01,1988,10,Car Oil,5,2.3969564
9,01-10-1988,1988-10-01,1988,10,Eggs,4,1.0292592
9,01-10-1988,1988-10-01,1988,10,White Loaf of Bread,5,.64520001
9,01-10-1988,1988-10-01,1988,10,Car Oil,2,2.0988889
9,01-10-1988,1988-10-01,1988,10,Pasta,5,.5316667
9,01-10-1988,1988-10-01,1988,10,Beef Mince,1,2.2928047
9,01-10-1988,1988-10-01,1988,10,Car Oil,3,2.1954238
9,01-10-1988,1988-10-01,1988,10,Eggs,3,.98538464
9,01-10-1988,1988-10-01,1988,10,Pasta,3,.41999999
9,01-10-1988,1988-10-01,1988,10,Pasta,2,.40952381
9,01-10-1988,1988-10-01,1988,10,Beef Mince,2,2.6725507
9,01-10-1988,1988-10-01,1988,10,Eggs,5,1.1956
9,01-10-1988,1988-10-01,1988,10,Eggs,2,.8926667
9,01-10-1988,1988-10-01,1988,10,Pasta,4,.44299999
9,01-10-1988,1988-10-01,1988,10,Beef Mince,3,3.0613456
9,01-10-1988,1988-10-01,1988,10,Car Oil,4,2.2587368
9,01-10-1988,1988-10-01,1988,10,Beef Mince,5,3.9934385
9,01-10-1988,1988-10-01,1988,10,White Loaf of Bread,3,.60000002
9,01-10-1988,1988-10-01,1988,10,Beef Mince,4,3.5200434
9,01-10-1988,1988-10-01,1988,10,White Loaf of Bread,1,.54057145
9,01-10-1988,1988-10-01,1988,10,White Loaf of Bread,4,.61370373
9,01-10-1988,1988-10-01,1988,10,Eggs,1,.66821426
10,01-11-1988,1988-11-01,1988,11,White Loaf of Bread,1,.53571427
10,01-11-1988,1988-11-01,1988,11,White Loaf of Bread,3,.60581398
10,01-11-1988,1988-11-01,1988,11,Car Oil,4,2.2582293
10,01-11-1988,1988-11-01,1988,11,Car Oil,3,2.1954546
10,01-11-1988,1988-11-01,1988,11,Car Oil,5,2.3945832
10,01-11-1988,1988-11-01,1988,11,Car Oil,2,2.1005425
10,01-11-1988,1988-11-01,1988,11,Beef Mince,5,4.078547
10,01-11-1988,1988-11-01,1988,11,Pasta,1,.36785713
10,01-11-1988,1988-11-01,1988,11,Pasta,4,.463
10,01-11-1988,1988-11-01,1988,11,Beef Mince,2,2.6481686
10,01-11-1988,1988-11-01,1988,11,Beef Mince,3,3.0279975
10,01-11-1988,1988-11-01,1988,11,Eggs,1,.70423079
10,01-11-1988,1988-11-01,1988,11,Eggs,2,.89814812
10,01-11-1988,1988-11-01,1988,11,Eggs,5,1.1813043
10,01-11-1988,1988-11-01,1988,11,Eggs,4,1.0377272
10,01-11-1988,1988-11-01,1988,11,Beef Mince,4,3.5591795
10,01-11-1988,1988-11-01,1988,11,Pasta,3,.41999999
10,01-11-1988,1988-11-01,1988,11,Car Oil,1,1.8546364
10,01-11-1988,1988-11-01,1988,11,White Loaf of Bread,2,.58794868
10,01-11-1988,1988-11-01,1988,11,White Loaf of Bread,5,.64518517
10,01-11-1988,1988-11-01,1988,11,Beef Mince,1,2.3579636
10,01-11-1988,1988-11-01,1988,11,Pasta,2,.40916666
10,01-11-1988,1988-11-01,1988,11,Eggs,3,.98517239
10,01-11-1988,1988-11-01,1988,11,Pasta,5,.56214285
10,01-11-1988,1988-11-01,1988,11,White Loaf of Bread,4,.62
11,01-12-1988,1988-12-01,1988,12,Car Oil,2,2.0977099
11,01-12-1988,1988-12-01,1988,12,Beef Mince,5,4.091145
11,01-12-1988,1988-12-01,1988,12,Beef Mince,3,3.0308514
11,01-12-1988,1988-12-01,1988,12,Beef Mince,4,3.5552123
11,01-12-1988,1988-12-01,1988,12,Car Oil,5,2.3975248
11,01-12-1988,1988-12-01,1988,12,Car Oil,1,1.8602586
11,01-12-1988,1988-12-01,1988,12,Pasta,5,.53652173
11,01-12-1988,1988-12-01,1988,12,Car Oil,4,2.2584
11,01-12-1988,1988-12-01,1988,12,Beef Mince,1,2.3728421
11,01-12-1988,1988-12-01,1988,12,Pasta,3,.41366667
11,01-12-1988,1988-12-01,1988,12,Eggs,5,1.204
11,01-12-1988,1988-12-01,1988,12,White Loaf of Bread,2,.59323525
11,01-12-1988,1988-12-01,1988,12,Beef Mince,2,2.7018843
11,01-12-1988,1988-12-01,1988,12,White Loaf of Bread,3,.61500001
11,01-12-1988,1988-12-01,1988,12,Pasta,1,.37313724
11,01-12-1988,1988-12-01,1988,12,Eggs,2,.96083331
11,01-12-1988,1988-12-01,1988,12,Car Oil,3,2.1964407
11,01-12-1988,1988-12-01,1988,12,Pasta,4,.44749999
11,01-12-1988,1988-12-01,1988,12,White Loaf of Bread,5,.6584
11,01-12-1988,1988-12-01,1988,12,Eggs,1,.72269231
11,01-12-1988,1988-12-01,1988,12,Eggs,4,1.0764
11,01-12-1988,1988-12-01,1988,12,White Loaf of Bread,1,.544375
11,01-12-1988,1988-12-01,1988,12,White Loaf of Bread,4,.63
11,01-12-1988,1988-12-01,1988,12,Eggs,3,1.03
12,01-01-1989,1989-01-01,1989,1,Car Oil,1,1.860566
12,01-01-1989,1989-01-01,1989,1,Eggs,4,1.0894285
12,01-01-1989,1989-01-01,1989,1,Beef Mince,2,2.7386892
12,01-01-1989,1989-01-01,1989,1,Beef Mince,3,3.1122668
12,01-01-1989,1989-01-01,1989,1,Car Oil,3,2.2261417
12,01-01-1989,1989-01-01,1989,1,Car Oil,2,2.1037931
12,01-01-1989,1989-01-01,1989,1,Car Oil,5,2.4342501
12,01-01-1989,1989-01-01,1989,1,White Loaf of Bread,5,.65923077
12,01-01-1989,1989-01-01,1989,1,Eggs,5,1.2633333
12,01-01-1989,1989-01-01,1989,1,Pasta,1,.37901959
12,01-01-1989,1989-01-01,1989,1,White Loaf of Bread,1,.56333333
12,01-01-1989,1989-01-01,1989,1,Beef Mince,1,2.383553
12,01-01-1989,1989-01-01,1989,1,Eggs,3,1.0021739
12,01-01-1989,1989-01-01,1989,1,Pasta,5,.52954549
12,01-01-1989,1989-01-01,1989,1,Beef Mince,4,3.6930535
12,01-01-1989,1989-01-01,1989,1,Car Oil,4,2.2938776
12,01-01-1989,1989-01-01,1989,1,Pasta,3,.41590908
12,01-01-1989,1989-01-01,1989,1,White Loaf of Bread,3,.62
12,01-01-1989,1989-01-01,1989,1,Eggs,1,.74699998
12,01-01-1989,1989-01-01,1989,1,White Loaf of Bread,4,.63
12,01-01-1989,1989-01-01,1989,1,Pasta,4,.44411764
12,01-01-1989,1989-01-01,1989,1,White Loaf of Bread,2,.60666668
12,01-01-1989,1989-01-01,1989,1,Eggs,2,.9168182
12,01-01-1989,1989-01-01,1989,1,Beef Mince,5,4.1915336
14,01-03-1989,1989-03-01,1989,3,Car Oil,1,1.829633
14,01-03-1989,1989-03-01,1989,3,Car Oil,4,2.2950909
14,01-03-1989,1989-03-01,1989,3,Eggs,2,.82571429
14,01-03-1989,1989-03-01,1989,3,Beef Mince,3,3.1264267
14,01-03-1989,1989-03-01,1989,3,Beef Mince,4,3.7008607
14,01-03-1989,1989-03-01,1989,3,Car Oil,2,2.1059649
14,01-03-1989,1989-03-01,1989,3,Car Oil,3,2.228889
