price,item_id,dateStata,dateISO,month,deciles
.38999999,210204,01-03-1988,1988-03-01,3,3
.41,210204,01-03-1988,1988-03-01,3,5
.41,210204,01-03-1988,1988-03-01,3,5
.52999997,210204,01-03-1988,1988-03-01,3,10
.41,210204,01-03-1988,1988-03-01,3,5
.36000001,210204,01-03-1988,1988-03-01,3,2
.43000001,210204,01-03-1988,1988-03-01,3,6
.38999999,210204,01-03-1988,1988-03-01,3,3
.41999999,210204,01-03-1988,1988-03-01,3,6
.54000002,210204,01-03-1988,1988-03-01,3,10
.33000001,210204,01-03-1988,1988-03-01,3,1
.51999998,210204,01-03-1988,1988-03-01,3,9
.36000001,210204,01-03-1988,1988-03-01,3,2
.38999999,210204,01-03-1988,1988-03-01,3,3
.36000001,210204,01-03-1988,1988-03-01,3,2
.38,210204,01-03-1988,1988-03-01,3,3
.38999999,210204,01-03-1988,1988-03-01,3,3
.41,210204,01-03-1988,1988-03-01,3,5
.40000001,210204,01-03-1988,1988-03-01,3,5
.51999998,210204,01-03-1988,1988-03-01,3,9
.38999999,210204,01-03-1988,1988-03-01,3,3
.51999998,210204,01-03-1988,1988-03-01,3,9
.5,210204,01-03-1988,1988-03-01,3,9
.41,210204,01-03-1988,1988-03-01,3,5
.44,210204,01-03-1988,1988-03-01,3,7
.38999999,210204,01-03-1988,1988-03-01,3,3
.46000001,210204,01-03-1988,1988-03-01,3,8
.38999999,210204,01-03-1988,1988-03-01,3,3
.38999999,210204,01-03-1988,1988-03-01,3,3
.44999999,210204,01-04-1988,1988-04-01,4,7
.41999999,210204,01-04-1988,1988-04-01,4,6
.38,210204,01-04-1988,1988-04-01,4,2
.49000001,210204,01-04-1988,1988-04-01,4,9
.41999999,210204,01-04-1988,1988-04-01,4,6
.38999999,210204,01-04-1988,1988-04-01,4,3
.40000001,210204,01-04-1988,1988-04-01,4,5
.38999999,210204,01-04-1988,1988-04-01,4,3
.44999999,210204,01-04-1988,1988-04-01,4,7
.44999999,210204,01-04-1988,1988-04-01,4,7
.54000002,210204,01-04-1988,1988-04-01,4,10
.51999998,210204,01-04-1988,1988-04-01,4,10
.38999999,210204,01-04-1988,1988-04-01,4,3
.41,210204,01-04-1988,1988-04-01,4,5
.38999999,210204,01-04-1988,1988-04-01,4,3
.47,210204,01-04-1988,1988-04-01,4,8
.41,210204,01-04-1988,1988-04-01,4,5
.38999999,210204,01-04-1988,1988-04-01,4,3
.38999999,210204,01-04-1988,1988-04-01,4,3
.41,210204,01-04-1988,1988-04-01,4,5
.38999999,210204,01-04-1988,1988-04-01,4,3
.43000001,210204,01-04-1988,1988-04-01,4,7
.41999999,210204,01-04-1988,1988-04-01,4,6
.33000001,210204,01-04-1988,1988-04-01,4,1
.50999999,210204,01-04-1988,1988-04-01,4,10
.38,210204,01-04-1988,1988-04-01,4,2
.38999999,210204,01-04-1988,1988-04-01,4,3
.49000001,210204,01-04-1988,1988-04-01,4,9
.44,210204,01-04-1988,1988-04-01,4,7
.33000001,210204,01-04-1988,1988-04-01,4,1
.33000001,210204,01-04-1988,1988-04-01,4,1
.36000001,210204,01-04-1988,1988-04-01,4,2
.38999999,210204,01-04-1988,1988-04-01,4,3
.49000001,210204,01-04-1988,1988-04-01,4,9
.34999999,210204,01-04-1988,1988-04-01,4,2
.49000001,210204,01-04-1988,1988-04-01,4,9
.36000001,210204,01-04-1988,1988-04-01,4,2
.38999999,210204,01-04-1988,1988-04-01,4,3
.49000001,210204,01-04-1988,1988-04-01,4,9
.52999997,210204,01-04-1988,1988-04-01,4,10
.44999999,210204,01-04-1988,1988-04-01,4,7
.44999999,210204,01-04-1988,1988-04-01,4,7
.49000001,210204,01-04-1988,1988-04-01,4,9
.41,210204,01-04-1988,1988-04-01,4,5
.41999999,210204,01-04-1988,1988-04-01,4,6
.47,210204,01-04-1988,1988-04-01,4,8
.38999999,210204,01-04-1988,1988-04-01,4,3
.51999998,210204,01-04-1988,1988-04-01,4,10
.28999999,210204,01-04-1988,1988-04-01,4,1
.34,210204,01-04-1988,1988-04-01,4,2
.38999999,210204,01-04-1988,1988-04-01,4,3
.41999999,210204,01-04-1988,1988-04-01,4,6
.31999999,210204,01-04-1988,1988-04-01,4,1
.33000001,210204,01-04-1988,1988-04-01,4,1
.33000001,210204,01-04-1988,1988-04-01,4,1
.33000001,210204,01-04-1988,1988-04-01,4,1
.49000001,210204,01-04-1988,1988-04-01,4,9
.38999999,210204,01-04-1988,1988-04-01,4,3
.38999999,210204,01-04-1988,1988-04-01,4,3
.5,210204,01-04-1988,1988-04-01,4,9
.46000001,210204,01-04-1988,1988-04-01,4,8
.38999999,210204,01-04-1988,1988-04-01,4,3
.38999999,210204,01-04-1988,1988-04-01,4,3
.56,210204,01-04-1988,1988-04-01,4,10
.41,210204,01-04-1988,1988-04-01,4,5
.41,210204,01-04-1988,1988-04-01,4,5
.38999999,210204,01-04-1988,1988-04-01,4,3
.41,210204,01-04-1988,1988-04-01,4,5
.62,210204,01-04-1988,1988-04-01,4,10
.49000001,210204,01-04-1988,1988-04-01,4,9
.41999999,210204,01-04-1988,1988-04-01,4,6
.40000001,210204,01-04-1988,1988-04-01,4,5
.44999999,210204,01-04-1988,1988-04-01,4,7
.36000001,210204,01-04-1988,1988-04-01,4,2
.41,210204,01-04-1988,1988-04-01,4,5
.58999997,210204,01-04-1988,1988-04-01,4,10
.44999999,210204,01-04-1988,1988-04-01,4,7
.38999999,210204,01-04-1988,1988-04-01,4,3
.36000001,210204,01-04-1988,1988-04-01,4,2
.47,210204,01-04-1988,1988-04-01,4,8
.38999999,210204,01-04-1988,1988-04-01,4,3
.38999999,210204,01-04-1988,1988-04-01,4,3
.49000001,210204,01-04-1988,1988-04-01,4,9
.41,210204,01-04-1988,1988-04-01,4,5
.46000001,210204,01-04-1988,1988-04-01,4,8
.44999999,210204,01-04-1988,1988-04-01,4,7
.31999999,210204,01-04-1988,1988-04-01,4,1
.43000001,210204,01-04-1988,1988-04-01,4,7
.34999999,210204,01-04-1988,1988-04-01,4,2
.41999999,210204,01-04-1988,1988-04-01,4,6
.33000001,210204,01-04-1988,1988-04-01,4,1
.41,210204,01-04-1988,1988-04-01,4,5
.38999999,210204,01-04-1988,1988-04-01,4,3
