item_id,date,dateStata,dateISO,year,month,quintiles,mean_decile_price
210204,34,01-11-1990,1990-11-01,1990,11,3,.52999997
210204,34,01-11-1990,1990-11-01,1990,11,4,.5579412
210204,34,01-11-1990,1990-11-01,1990,11,5,.60157895
210204,34,01-11-1990,1990-11-01,1990,11,1,.45620689
210204,35,01-12-1990,1990-12-01,1990,12,4,.56629628
210204,35,01-12-1990,1990-12-01,1990,12,1,.4634375
210204,35,01-12-1990,1990-12-01,1990,12,3,.53666669
210204,35,01-12-1990,1990-12-01,1990,12,2,.51999998
210204,35,01-12-1990,1990-12-01,1990,12,5,.60350001
210204,36,01-01-1991,1991-01-01,1991,1,5,.59875
210204,36,01-01-1991,1991-01-01,1991,1,3,.53625
210204,36,01-01-1991,1991-01-01,1991,1,1,.45480001
210204,36,01-01-1991,1991-01-01,1991,1,2,.51828569
210204,36,01-01-1991,1991-01-01,1991,1,4,.56800002
210204,37,01-02-1991,1991-02-01,1991,2,2,.51837206
210204,37,01-02-1991,1991-02-01,1991,2,4,.56629628
210204,37,01-02-1991,1991-02-01,1991,2,5,.609375
210204,37,01-02-1991,1991-02-01,1991,2,3,.53600001
210204,37,01-02-1991,1991-02-01,1991,2,1,.44999999
210204,38,01-03-1991,1991-03-01,1991,3,4,.565
210204,38,01-03-1991,1991-03-01,1991,3,1,.46312499
210204,38,01-03-1991,1991-03-01,1991,3,3,.53526318
210204,38,01-03-1991,1991-03-01,1991,3,2,.51999998
210204,38,01-03-1991,1991-03-01,1991,3,5,.59789473
210204,39,01-04-1991,1991-04-01,1991,4,4,.57480001
210204,39,01-04-1991,1991-04-01,1991,4,3,.54218751
210204,39,01-04-1991,1991-04-01,1991,4,5,.62181818
210204,39,01-04-1991,1991-04-01,1991,4,1,.46794116
210204,39,01-04-1991,1991-04-01,1991,4,2,.51999998
210204,40,01-05-1991,1991-05-01,1991,5,2,.51999998
210204,40,01-05-1991,1991-05-01,1991,5,3,.542
210204,40,01-05-1991,1991-05-01,1991,5,1,.46068963
210204,40,01-05-1991,1991-05-01,1991,5,5,.62272727
210204,40,01-05-1991,1991-05-01,1991,5,4,.57777774
210204,41,01-06-1991,1991-06-01,1991,6,3,.54322582
210204,41,01-06-1991,1991-06-01,1991,6,2,.51703703
210204,41,01-06-1991,1991-06-01,1991,6,1,.46633333
210204,41,01-06-1991,1991-06-01,1991,6,5,.62083334
210204,41,01-06-1991,1991-06-01,1991,6,4,.57631576
210204,42,01-07-1991,1991-07-01,1991,7,1,.46812499
210204,42,01-07-1991,1991-07-01,1991,7,3,.54357141
210204,42,01-07-1991,1991-07-01,1991,7,2,.51999998
210204,42,01-07-1991,1991-07-01,1991,7,4,.60024393
210204,42,01-07-1991,1991-07-01,1991,7,5,.65200001
210204,43,01-08-1991,1991-08-01,1991,8,3,.54299998
210204,43,01-08-1991,1991-08-01,1991,8,4,.60230768
210204,43,01-08-1991,1991-08-01,1991,8,2,.51999998
210204,43,01-08-1991,1991-08-01,1991,8,1,.47258064
210204,43,01-08-1991,1991-08-01,1991,8,5,.66714287
210204,44,01-09-1991,1991-09-01,1991,9,1,.46642858
210204,44,01-09-1991,1991-09-01,1991,9,2,.53888887
210204,44,01-09-1991,1991-09-01,1991,9,4,.59750003
210204,44,01-09-1991,1991-09-01,1991,9,5,.66125
210204,44,01-09-1991,1991-09-01,1991,9,3,.56
210204,45,01-10-1991,1991-10-01,1991,10,2,.54960787
210204,45,01-10-1991,1991-10-01,1991,10,4,.5978846
210204,45,01-10-1991,1991-10-01,1991,10,1,.48658535
210204,45,01-10-1991,1991-10-01,1991,10,5,.67500001
210204,45,01-10-1991,1991-10-01,1991,10,3,.56
210204,46,01-11-1991,1991-11-01,1991,11,1,.4817073
210204,46,01-11-1991,1991-11-01,1991,11,2,.54893941
210204,46,01-11-1991,1991-11-01,1991,11,5,.68272728
210204,46,01-11-1991,1991-11-01,1991,11,4,.59936172
210204,47,01-12-1991,1991-12-01,1991,12,2,.54957145
210204,47,01-12-1991,1991-12-01,1991,12,1,.47242424
210204,47,01-12-1991,1991-12-01,1991,12,4,.60039216
210204,47,01-12-1991,1991-12-01,1991,12,5,.6857143
210204,48,01-01-1992,1992-01-01,1992,1,4,.60638297
210204,48,01-01-1992,1992-01-01,1992,1,1,.52397847
210204,48,01-01-1992,1992-01-01,1992,1,5,.68300003
210204,48,01-01-1992,1992-01-01,1992,1,3,.56857145
